Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Comunal,ARAUCO,2010,20,1,46,21,14,1,3,20,15,109,
Comunal,ARAUCO,2011,24,0,58,30,20,4,4,24,14,144,
Comunal,CANETE,2010,26,0,27,7,9,0,5,15,12,104,
Comunal,CANETE,2011,20,1,38,9,21,0,9,27,15,135,
Comunal,CONTULMO,2010,3,0,7,3,2,0,0,3,3,19,
Comunal,CONTULMO,2011,2,0,6,5,8,0,1,7,8,29,
Comunal,CURANILAHUE,2010,14,1,22,11,9,1,4,12,5,83,
Comunal,CURANILAHUE,2011,24,4,29,12,11,0,0,18,5,100,
Comunal,LOS ALAMOS,2010,17,0,20,6,11,0,1,23,6,51,
Comunal,LOS ALAMOS,2011,8,0,16,11,13,0,3,9,4,71,
Comunal,TIRUA,2010,3,0,15,0,5,0,2,9,4,38,
Comunal,TIRUA,2011,1,1,12,1,9,0,1,6,6,40,
Comunal,LOS ANGELES,2010,120,12,449,243,73,9,21,141,76,716,
Comunal,LOS ANGELES,2011,182,19,564,351,85,11,22,165,61,822,
Comunal,ANTUCO,2010,0,0,1,0,2,0,1,1,0,10,
Comunal,ANTUCO,2011,1,0,1,0,0,0,0,0,0,1,
Comunal,CABRERO,2010,9,1,21,7,15,0,11,24,22,57,
Comunal,CABRERO,2011,12,1,42,20,29,1,13,17,28,115,
Comunal,LAJA,2010,21,0,15,4,15,0,1,14,11,57,
Comunal,LAJA,2011,16,1,13,14,9,0,2,21,11,57,
Comunal,MULCHEN,2010,12,1,19,6,9,0,4,15,11,105,
Comunal,MULCHEN,2011,12,0,14,11,15,0,2,23,7,50,
Comunal,NACIMIENTO,2010,7,0,19,6,13,1,3,13,5,54,
Comunal,NACIMIENTO,2011,24,0,27,5,16,0,8,12,7,80,
Comunal,NEGRETE,2010,4,0,11,3,4,1,4,6,4,27,
Comunal,NEGRETE,2011,4,0,8,2,7,0,2,3,1,29,
Comunal,QUILACO,2010,0,0,1,2,2,0,0,3,0,7,
Comunal,QUILACO,2011,0,0,1,0,2,0,0,2,0,5,
Comunal,QUILLECO,2010,0,1,1,1,2,0,0,0,0,7,
Comunal,QUILLECO,2011,2,0,3,2,9,0,2,7,1,16,
Comunal,SAN ROSENDO,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,SAN ROSENDO,2011,1,0,1,2,2,0,0,1,1,5,
Comunal,SANTA BARBARA,2010,1,1,3,2,2,0,0,2,3,8,
Comunal,SANTA BARBARA,2011,7,0,16,8,8,2,1,23,3,50,
Comunal,TUCAPEL,2010,3,0,3,2,0,0,3,2,0,6,
Comunal,TUCAPEL,2011,5,0,13,6,10,0,4,9,6,23,
Comunal,YUMBEL,2010,2,1,21,7,7,0,3,6,3,62,
Comunal,YUMBEL,2011,8,0,23,16,14,0,2,15,16,94,
Comunal,ALTO BIO BIO,2010,1,0,1,2,0,0,0,1,2,3,
Comunal,ALTO BIO BIO,2011,2,0,2,2,4,0,1,3,0,4,
Comunal,CHILLAN,2010,150,17,432,104,46,6,17,151,102,896,
Comunal,CHILLAN,2011,150,14,416,107,62,11,7,100,53,937,
Comunal,BULNES,2010,10,0,28,20,9,1,10,23,6,50,
Comunal,BULNES,2011,2,0,42,11,14,0,2,8,8,45,
Comunal,COBQUECURA,2010,0,0,3,4,3,0,0,5,3,11,
Comunal,COBQUECURA,2011,1,0,1,0,3,0,1,5,2,6,
Comunal,COELEMU,2010,4,0,8,3,6,0,0,6,5,25,
Comunal,COELEMU,2011,4,0,13,3,8,0,1,7,6,40,
Comunal,COIHUECO,2010,7,0,5,5,9,0,4,6,9,31,
Comunal,COIHUECO,2011,6,0,8,5,5,0,1,6,6,21,
Comunal,CHILLAN VIEJO,2010,8,1,34,8,9,2,2,19,6,72,
Comunal,CHILLAN VIEJO,2011,18,2,37,20,22,0,17,34,15,145,
Comunal,EL CARMEN,2010,5,0,6,19,4,0,0,8,6,22,
Comunal,EL CARMEN,2011,5,0,14,20,3,1,1,6,3,58,
Comunal,NINHUE,2010,3,1,6,1,5,0,2,6,4,20,
Comunal,NINHUE,2011,3,0,2,1,4,0,1,8,3,26,
Comunal,NIQUEN,2010,1,0,2,4,4,0,8,6,1,22,
Comunal,NIQUEN,2011,4,0,5,5,4,0,2,1,3,21,
Comunal,PEMUCO,2010,4,0,9,12,7,1,4,8,4,12,
Comunal,PEMUCO,2011,3,0,13,20,4,0,1,6,5,35,
Comunal,PINTO,2010,8,0,9,13,7,0,4,10,11,36,
Comunal,PINTO,2011,4,0,7,13,8,1,1,19,5,69,
Comunal,PORTEZUELO,2010,2,0,1,0,0,0,1,0,1,1,
