Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Regional,XII Región de Magallanes,2010,125,3,598,400,116,17,18,88,64,832,
Regional,XII Región de Magallanes,2011,139,2,411,329,99,40,22,117,44,884,
Comunal,PUNTA ARENAS,2010,113,3,550,339,39,14,7,56,49,636,
Comunal,PUNTA ARENAS,2011,124,2,358,265,35,32,14,78,31,651,
Comunal,LAGUNA BLANCA,2010,0,0,0,0,19,1,2,9,3,27,
Comunal,LAGUNA BLANCA,2011,1,0,0,1,12,1,0,7,0,21,
Comunal,SAN GREGORIO,2010,0,0,2,0,13,0,5,6,1,38,
Comunal,SAN GREGORIO,2011,0,0,4,0,9,2,7,8,1,23,
Comunal,CABO DE HORNOS,2010,0,0,0,0,1,0,0,0,0,1,
Comunal,CABO DE HORNOS,2011,1,0,0,0,0,0,0,0,1,0,
Comunal,PORVENIR,2010,2,0,4,0,7,0,0,5,2,19,
Comunal,PORVENIR,2011,0,0,2,3,14,1,0,6,3,28,
Comunal,PRIMAVERA,2010,0,0,0,0,3,0,2,0,0,7,
Comunal,PRIMAVERA,2011,0,0,0,0,3,0,0,2,0,2,
Comunal,TIMAUKEL,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,TIMAUKEL,2011,0,0,1,0,1,0,0,0,0,3,
Comunal,NATALES,2010,10,0,42,61,29,2,2,11,8,98,
Comunal,NATALES,2011,13,0,45,59,20,4,1,14,8,148,
Comunal,TORRES DEL PAINE,2010,0,0,0,0,5,0,0,1,1,6,
Comunal,TORRES DEL PAINE,2011,0,0,1,1,5,0,0,2,0,8,
Regional,Región Metropolitana,2010,2.834,856,12.444,4.797,475,269,417,2.016,1.117,12.379,
Regional,Región Metropolitana,2011,2.899,864,13.059,5.353,613,732,360,2.008,1.200,12.341,
Comunal,SANTIAGO,2010,338,155,1.050,654,18,16,22,105,45,1.223,
Comunal,SANTIAGO,2011,437,141,1.325,715,18,31,36,178,83,1.280,
Comunal,CERRILLOS,2010,14,12,193,54,8,3,4,13,11,152,
Comunal,CERRILLOS,2011,23,9,276,88,20,5,6,13,11,191,
Comunal,CERRO NAVIA,2010,54,21,165,56,4,3,7,45,21,160,
Comunal,CERRO NAVIA,2011,40,8,193,70,8,6,3,34,29,156,
Comunal,CONCHALI,2010,40,12,209,32,5,4,3,47,10,125,
Comunal,CONCHALI,2011,76,14,355,28,8,1,5,67,22,266,
Comunal,EL BOSQUE,2010,36,5,229,90,3,11,10,37,18,148,
Comunal,EL BOSQUE,2011,43,5,243,72,1,13,6,14,6,172,
Comunal,ESTACION CENTRAL,2010,70,34,206,65,1,1,11,55,30,162,
Comunal,ESTACION CENTRAL,2011,68,26,258,62,2,6,12,54,27,198,
Comunal,HUECHURABA,2010,19,6,132,50,3,3,3,14,3,102,
Comunal,HUECHURABA,2011,27,9,209,48,12,8,4,22,3,116,
Comunal,INDEPENDENCIA,2010,26,10,179,92,4,4,7,14,2,104,
Comunal,INDEPENDENCIA,2011,40,24,201,72,6,8,3,18,9,150,
Comunal,LA CISTERNA,2010,70,13,403,169,2,56,5,41,12,292,
Comunal,LA CISTERNA,2011,57,7,333,169,8,65,4,39,13,296,
Comunal,LA FLORIDA,2010,193,43,1.005,430,20,19,11,108,51,800,
Comunal,LA FLORIDA,2011,118,12,548,159,12,8,15,75,40,381,
Comunal,LA GRANJA,2010,45,11,80,23,4,1,9,29,7,148,
Comunal,LA GRANJA,2011,59,9,128,32,3,9,8,46,20,216,
Comunal,LA PINTANA,2010,66,10,270,26,10,1,13,60,18,178,
Comunal,LA PINTANA,2011,58,23,306,45,11,1,9,63,26,233,
Comunal,LA REINA,2010,48,9,131,20,5,2,3,43,16,190,
Comunal,LA REINA,2011,33,11,206,58,9,1,4,42,18,153,
Comunal,LAS CONDES,2010,93,33,568,153,15,5,7,98,32,497,
Comunal,LAS CONDES,2011,112,38,724,229,21,24,9,59,29,537,
Comunal,LO BARNECHEA,2010,43,4,144,81,7,4,3,22,5,131,
Comunal,LO BARNECHEA,2011,18,3,94,78,8,1,0,16,4,61,
Comunal,LO ESPEJO,2010,33,3,99,12,2,1,6,7,1,72,
Comunal,LO ESPEJO,2011,31,8,147,76,1,32,6,15,6,82,
Comunal,LO PRADO,2010,46,15,176,62,6,1,0,32,22,148,
Comunal,LO PRADO,2011,47,9,164,83,4,15,6,36,19,120,
Comunal,MACUL,2010,25,6,165,33,2,18,3,6,4,175,
Comunal,MACUL,2011,21,6,89,80,4,43,1,9,5,131,
Comunal,MAIPU,2010,159,75,854,464,31,5,17,62,63,1.153,
Comunal,MAIPU,2011,125,73,776,568,28,15,18,73,79,802,
Comunal,NUNOA,2010,135,44,649,265,28,12,9,102,55,790,
Comunal,NUNOA,2011,121,55,685,209,33,19,6,103,73,817,
Comunal,P. AGUIRRE CERDA,2010,40,5,113,23,3,1,1,12,7,104,
Comunal,P. AGUIRRE CERDA,2011,39,6,134,49,2,22,8,21,7,142,
Comunal,PENALOLEN,2010,89,10,296,59,5,1,11,59,29,229,
Comunal,PENALOLEN,2011,84,19,343,62,16,2,7,56,18,218,
Comunal,PROVIDENCIA,2010,80,17,150,26,2,1,9,83,41,153,
Comunal,PROVIDENCIA,2011,116,12,482,76,6,12,6,68,33,306,
Comunal,PUDAHUEL,2010,92,27,382,175,25,8,11,62,87,445,
Comunal,PUDAHUEL,2011,95,29,340,216,10,217,11,67,46,393,
Comunal,QUILICURA,2010,38,9,104,36,9,1,9,22,16,138,
Comunal,QUILICURA,2011,50,12,176,43,9,3,9,30,19,209,
Comunal,QUINTA NORMAL,2010,70,18,428,51,2,10,7,69,20,306,
Comunal,QUINTA NORMAL,2011,50,16,350,104,13,13,3,37,44,297,
Comunal,RECOLETA,2010,87,22,338,160,6,12,7,52,19,234,
Comunal,RECOLETA,2011,60,17,253,112,10,10,5,30,8,144,
Comunal,RENCA,2010,15,9,35,8,0,0,10,34,5,22,
Comunal,RENCA,2011,32,14,157,56,7,16,5,27,30,129,
Comunal,SAN JOAQUIN,2010,51,14,269,118,3,4,5,45,15,211,
Comunal,SAN JOAQUIN,2011,45,15,264,114,7,0,5,29,12,245,
Comunal,SAN MIGUEL,2010,36,14,261,97,2,0,9,8,4,205,
Comunal,SAN MIGUEL,2011,38,24,254,98,7,6,8,11,8,240,
Comunal,SAN RAMON,2010,18,16,72,16,0,1,4,14,2,100,
Comunal,SAN RAMON,2011,24,16,45,29,1,1,4,16,11,42,
Comunal,VITACURA,2010,61,11,415,182,26,1,5,57,23,322,
Comunal,VITACURA,2011,60,19,488,183,22,2,5,59,21,349,
Comunal,PUENTE ALTO,2010,257,67,1.136,235,21,5,21,175,75,886,
Comunal,PUENTE ALTO,2011,253,84,1.033,448,36,26,25,158,94,786,
Comunal,PIRQUE,2010,3,4,66,25,0,0,0,6,8,32,
Comunal,PIRQUE,2011,5,5,57,45,8,1,3,8,7,47,
Comunal,SAN JOSE DE MAIPO,2010,8,1,34,31,7,0,9,9,15,39,
Comunal,SAN JOSE DE MAIPO,2011,5,3,40,41,19,1,0,5,10,57,
Comunal,COLINA,2010,26,5,55,40,18,6,7,50,68,119,
Comunal,COLINA,2011,37,4,119,72,28,8,12,53,47,242,
Comunal,LAMPA,2010,13,0,41,15,11,0,10,23,24,52,
Comunal,LAMPA,2011,9,0,50,21,8,0,3,18,17,98,
Comunal,TILTIL,2010,6,0,15,10,14,2,7,9,9,52,
Comunal,TILTIL,2011,7,0,25,13,14,0,9,15,14,45,
Comunal,SAN BERNARDO,2010,44,13,280,52,14,4,19,29,19,255,
Comunal,SAN BERNARDO,2011,40,5,188,52,9,3,11,26,15,155,
Comunal,BUIN,2010,61,11,275,183,29,12,11,46,44,367,
Comunal,BUIN,2011,65,13,277,192,39,20,7,56,32,417,
Comunal,CALERA DE TANGO,2010,13,4,161,56,5,5,5,15,12,156,
Comunal,CALERA DE TANGO,2011,22,2,119,58,4,3,6,18,11,116,
Comunal,PAINE,2010,23,2,187,135,32,7,10,57,33,271,
Comunal,PAINE,2011,33,1,163,122,27,11,8,32,29,194,
Comunal,MELIPILLA,2010,1,0,13,11,4,2,12,8,7,32,
Comunal,MELIPILLA,2011,15,2,64,35,12,1,8,28,14,98,
Comunal,ALHUE,2010,3,0,0,0,0,0,3,0,0,0,
Comunal,ALHUE,2011,0,0,2,3,2,0,1,1,0,6,
Comunal,CURACAVI,2010,3,3,21,31,17,2,11,9,14,74,
Comunal,CURACAVI,2011,4,0,34,58,14,5,7,11,16,93,
Comunal,MARIA PINTO,2010,1,0,2,0,0,0,5,2,1,0,
Comunal,MARIA PINTO,2011,5,0,8,12,5,0,2,7,2,21,
Comunal,SAN PEDRO,2010,1,0,0,0,2,0,3,2,0,1,
Comunal,SAN PEDRO,2011,1,0,2,2,2,0,2,1,2,3,
Comunal,TALAGANTE,2010,46,15,116,77,18,4,31,59,27,279,
Comunal,TALAGANTE,2011,47,14,115,30,15,17,4,44,29,296,
Comunal,EL MONTE,2010,21,5,37,15,3,2,3,12,14,86,
Comunal,EL MONTE,2011,13,4,50,17,3,3,1,27,19,97,
Comunal,ISLA DE MAIPO,2010,11,4,58,20,6,2,3,15,12,112,
Comunal,ISLA DE MAIPO,2011,17,5,39,11,15,2,2,27,19,113,
Comunal,PADRE HURTADO,2010,16,13,36,29,4,1,1,7,10,98,
Comunal,PADRE HURTADO,2011,11,8,29,9,6,2,5,14,7,87,
Comunal,PENAFLOR,2010,47,16,141,50,9,5,5,26,31,249,
Comunal,PENAFLOR,2011,63,25,99,29,20,14,7,32,37,298,
