"tweet_id";"tweet_text"
9711296309;"#venezuelarockswithjonas por qué ya no somos tt en san antonio?"
9711348889;"@isdestinyhope yo no puedo encontrar uno que suene como en el cd :/"
9711468656;"#demasiado elstark y algo mas @hotmail.com
 http://bit.ly/ailqjs "
9717178748;"ya queridos #mtuit... buenas noches... un agrado..."
9717290766;"los que desafiaron la vida y la muerte http://bit.ly/cywwh1"
9709341124;"salas cuna y jardines infantiles disponen de un nuevo plan integral de seguridad: el manual apunta a ... http://bit.ly/ddvuvd [ptomontt.cl]"
9707450566;"@isetmycatonfire tito el bambino patudo de mierda yo creo que era para puro ganarle a don omar no vei que es el patrchon"
9707546999;"@alitae link de combinaciones del vodka: http://bit.ly/cpyzs3"
9707510908;"rt @shaamiih: http://twitpic.com/15jd1f - esto es lo que pasa despues de que  

@angiejobross ataca a joe "
9707659935;"y que estoy enganchada a lo nuevo de julian casablancas."
9707720880;"#vina2010 #fv10 ¿ las apuestas ? con gaviota ya!!"
9710278425;"y la gente cree que #arjonachanta es un poeta... #fv10"
9710293475;"rt @cone_dreamer: rt si pensas que los @jonasbrothers son solo de sus fans y que no te importa con quien salgan o a quien le escriban. j ..."
9709686001;"rt @eslaverdad1: por los que a veces quisieran agarrar a esa persona y decirle todo!"
9710387478;"rt @jumastorga: rt @panchodays: el escenario de arjona parece los techos por donde arranco el brayan // jajaja #mtuit"
9710617158;"busco durante 2 rondas el canal chileno en la ex tv de mi hermana [antichilena =(] y luego se me prendió la vela..lo habia eliminado :p"
9710676488;"mueroo!!! amo esta cancion t.t!"
9708050643;"para los mentirosos (as) que dicen no conocer los moteles... ahi les va un link... mas q obvio jajaja http://bit.ly/ayevra"
9708320043;"rt @galanteddm aki esta el tema official de galante ""el emperador"" - ""a escondidas"" http://usershare.net/cubccm98x0se &lt;&lt;&lt;--- este es el q es "
9708361134;"@mellamocarla  xddd buena!  hoy tuve pelo de leo rey! xd me lave el pelo y no me lo seque. tenía hartos rulos =3="
9708449233;"cabros: ¿han probado este manjar? http://twitpic.com/15ji2m"
9708528744;"@tuckerchile chicas se me es de mucha importancia comunicarme con ustedes gracias"
9712267394;"me agradan algunos de sus clásico"
9712373475;"@soledadonetto esta es muy buena también"
9712401486;"@soledadonetto  es muy buena esa cncion"
9712854491;"rt @twittnacho: ya no doy mas!!! con arjona me dieron ganas de sacarle la chucha a mi polola wn jaja broma wn xd #vina2010 #fv10"
9716563594;"@mich__e y que wea! xd"
9716640336;"@carloszarate13 m voy a ver rec2buenisima película de miedo"
9716583976;"rt @seba_ortiz: #fv10 #vina2010 #fannylu al menos fue digna y canto lo que tenia y se bajo sin esperar grandes vitoreos ni premios. un 7 ..."
9716824171;"@esteesryanross lo adivinaste &lt;3! y después uno por que se enamora de ti.. sé que eres un seguidor de mcr (?) yo igual lo soy :3"
9717034028;"con esto cerramos?? #mtuit"
9715172093;"rt @nperezr: el publico de la quinta se v"
9715709097;"y aparte de este tema... que mas tiene? xd"
9715732960;"rt @fuentesilva: mish...  fanny lu con todo. la quinta no esta nada de vacía.  http://yfrog.com/1eeucj"
9715839764;"rt @twiterillo: fanny lu tiró altiro las únicas 2 canciones ""conocidas"" (en chile) d: #vina2010 #fv10 #mtuit "
9716007927;"rt @m4muffins: urgente: @fanny_lu es felicitada por una lluvia de golpes por parte de #arjonachanta en el backstage de #vina2010 #fv10"
9716066776;"anahi tiene autoridad moral para evaluar canciones??? supongo que no sera la encargada de la afinacion jajaj"
9716228188;"canta muy mal el vocalista de difuntos correa como para haberlos seleccionado =/"
9706682917;"para defender @victoria1039fm participa caravana hasta conatel caracas el jueves 4 de marzo.punto dconcentración peaje d la victoria6am"
9706715354;"y mi prima chica está con ataque... tapones urgentes"
9706782982;"@valesalazr jajaj eso es lo qe lei por ahi qe decia de @biobio"
9707210380;"rt @biobio: y la gente ya comienza a pedir antorcha. ¿merecido? // n"
9707265208;"#vina2010 #fv10 ¿ leo rey esta resfriado"
9719203838;"rt @cunerodesatan: @racsolin @lunetaz   que temblo en chile???&lt;-- y si fue fuerte vee http://bit.ly/dw7q80"
9705288564;"rt @juanes: un aplauso por el dictamen de la corte constituciona"
9706397092;"@rauldemolina gordo porque te pusiste seloso de willyam levy?"
9706620212;"@polibt siempre he pensado lo innecesario que son los bailarines en viña."
9711642419;"uhhmmm no me gusta mucho esta cancion... #fv10"
9711667217;"rt @pajaiito: @gabypablo @gabyballesteros quiero decirles que la página web de la espol está entre las 40 (cont) http://tl.gd/c4fih"
9711811646;"y puta q duele oh u.u (pero sigo con el odio xd)"
9711825152;"patético es creer que una mentira convoque a los duendes del milagr"
9711928442;"con una canción de arjona me he ahorrado explicaciones &lt;/3"
9712003855;"@soledadonetto y cuanto se demoraron en montar todo ese aparataje?"
9713635065;"@halconmatinal que no se vaya arjonaaaaaa por fa :(!!! un rato mas! que cante pinguinos en la cama :(! (??)"
9713647712;"@inugami_chan  me pregunte lo mismo de  don omar y de tito el mendigo xd saludos"
9713758120;"#vina2010 #fv10 vamos aclarando el panoramaaa (8)"
9713875315;"coo el arjona no juega! tremend concert n vina! cito: u201cel premio no lo pedimo"
9714188817;"@soledadonetto falto ""tu reputacion"" .. no quedo totalmente complacida :( "
9714236905;"@_nikoll xd me aburria en la tarde y busque el app y ahi esta (r) xd"
9714255272;"se viene @fannylu ....vamos que se puede"
9714337196;"@rorrox si ps.. estaré todo el dia en el starbucks esperando a q tal vez no llegues xd"
9714257885;"rt @vivikreutzberge: @fuentesilva de oro? no hay. doble plata? mmm...// podrían hacer combos...como en el mc donalds....."
9714848249;"ya se vienen planos cerrados solo al escenari"
9726195130;"el terremoto de chile se ha sentido primero en twitter y en la red http://www.20minutos.es/noticia/639530 #terremotochile #chile"
9726238729;"despertandome y viendo a chile en los temas mas hablados =s....primero haiti luego chile. 78 muertos hasta ahora"
9726252024;"rt @latercera gobierno decreta zona de catástrofe regiones del maule y del biobío tras terremoto http://twurl.nl/eewzsk"
9726296866;"6 horas tuiteando #terremotochile voy por un cigarro... y vuelvo..."
9726051129;"rt @globovision: el aeropuerto internacional de santiago fue cerrado por algunos daños en sus instalaciones y se ha informado de varios  ..."
9726410075;"muchos terremotos últimamente. la tierra se está cansando de nosotros. la entiendo."
9726460879;"lean un poco de esto y ya luego me platican. http://bit.ly/wshnh http://bit.ly/cjwxck relacionado con el terremoto de chile de 8.3º"
9741716945;"rt @twitter_es: la cuenta @ayudachile fue creada para contactar familiares y amigos en chil"
9726842042;"terremoto de chile se siente en la argentina y su capital http://bit.ly/aiblaz"
9726880128;"rt @eluniversal: los terremotos más devastadores en américa latina http://bit.ly/bonish #terremotochile"
9744480486;"alguien de cabrero que me pueda decir como está la cosa por allá? tengo parientes por ahí que no puedo contactar #chile"
9744540253;"@babyrodriguez te acuerdas de nico? el esta al sur de la ciudad donde fue el terremoto mas grande y no los encuentran.. estoy triste"
9744500924;"rt @shanikberman: vean cnn @anahi dio ahí 1 entrevitsa y dice q ella esta bie"
9744946503;"@506networks yo espero q cuando inicien los toros digan algo del terremoto de chil"
9744036305;"rt @tvn24h: 5 muertos y 11 desaparecidos en juan fernández por ola gigante. archipiélago tiene poco más de 500 habitantes. #terremotochi ..."
9744154537;"@ecc185 parece que fue esta madrugada http://noticias.radiopaz.pe/2010/02/japon-tambien-sufrio-un-terremoto-1.html"
9747829365;"tsunami:  en hilo reportan subida en nivel del mar de 1 a 1.5 metros de acuerdo a tvlocal khon-fox"
9747796291;"rt @cubadebate: a 214 evela la cifra de fallecidos por #terremoto en #chile"
9747849531;"rt @pein_sama25: rt @yosoyallendista: retuiteen los teléfonos de emergencia en chile 568 1290 / 568 1295 #terremotochile (via @cristocal18)"
9747859329;"centro de comandos en mi casa"
9747944629;"pero que ignorantes! rt @nelsonbocaranda: segun diario gramma los terremotos son producidos por un arma nueva del imperio!!! confirmado..."
9746707882;"por favor rt &gt; link para búsqueda de desaparecidos: http://bit.ly/9jllnh"
9746691881;"rt @flor_jb: yo me tranquilizo mirando qe la gente esta tranquila"
9746738899;"@reportwiteros y en conce como esta la situacion ?"
9728881153;"consulado de chile en valencia: 0241-8575263 | consulado de chile en pto ordaz: 0286-9614556 | consulado de chile en mcbo: 0261-7430460"
9728256701;"absurdo ayer me quejaba del acento chilen"
9728318920;"he dormido sólo 2 horas por ver lo de chil"
